metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
Kartal istasyonunda 1. peron aydınlatması tamamen söndü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Mecidiyeköy istasyonunda ana dağıtım panosunda sigorta atması meydana geldi.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Sanayi Mahallesi istasyonunda acil aydınlatma üniteleri test sırasında yanmadı.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Kirazlı istasyonunda bilet holü aydınlatması titriyor ve sönük.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Yenikapı istasyonunda üçüncü ray voltaj düşüşü alarmı oluştu.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Atatürk Havalimanı istasyonunda UPS baterileri yedek enerji vermiyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Gayrettepe istasyonunda jeneratör test çalışması başaramadı alarm aktif.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Kağıthane istasyonunda katener hattında iskıla oluşumu tespit edildi.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Levent istasyonunda peron üstü aydınlatma armatürleri yanmıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
4. Levent istasyonunda trafo yanmış kokusu geliyor acil müdahale.,elektrik_enerji,1,fault_report,0,P1,0,standart,relabel:gemini
Seyrantepe istasyonunda güney çıkış aydınlatması kesik kesik yanıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Göztepe istasyonunda elektrik panosu üzerindeki kontaktör sürekli atıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Kozyatağı istasyonunda UPS cihazı hata lambası yanıyor sesli alarm.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Bostancı istasyonunda 2. peron aydınlatma şalteri işlevsiz ışık açılmıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Dudullu istasyonunda acil durma butonları aydınlatması yanmıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Ümraniye istasyonunda kablo kanalı sızdırmazlığı nedeniyle korozyon riski var.,altyapi_insaat,10,fault_report,0,P3,2,standart,relabel:gemini
Çekmeköy istasyonunda peron kenarı aydınlatma kolu kırık kablo görünüyor.,elektrik_enerji,1,fault_report,0,P1,0,standart,relabel:gemini
Sultanbeyli istasyonunda jeneratör yakıt seviyesi kritik seviyeye düştü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Kartal istasyonunda besleme şalteri kapatılmıyor mekanik takılma var.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Mecidiyeköy istasyonunda tünel aydınlatması yarı kapasitede çalışıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Sanayi Mahallesi istasyonunda UPS baypas moduna düşmüş log kaydedildi.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Kirazlı istasyonunda asansör makina odası aydınlatması tamamen kapalı.,elektrik_enerji,1,fault_report,0,P4,3,standart,relabel:gemini
Yenikapı istasyonunda katener gerilim değeri normalin altına düştü.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Atatürk Havalimanı istasyonunda peron aydınlatma sensörü gün ışığında kapanmıyor.,elektrik_enerji,1,fault_report,0,P4,3,standart,relabel:gemini
Gayrettepe istasyonunda anahtar transfer şalteri otomatik devreye girmedi.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
